id,name,created_at
1,United States,2023-01-30 05:58:46.709345+00
2,Indonesia,2023-01-30 05:58:55.412153+00
3,United Kingdom,2023-01-31 08:39:45.060757+00
4,Canada,2023-01-31 13:51:31.113306+00
5,Australia,2023-01-31 13:58:58.22642+00
6,Hongkong,2023-02-01 23:03:39.319723+00
7,Israel,2023-02-01 23:27:14.698299+00
9,China,2023-02-01 23:37:11.224109+00
10,Sweden,2023-02-01 23:43:10.025086+00
8,Germany,2023-02-01 23:34:36.256481+00
11,Columbia,2023-02-02 06:37:26.845166+00
12,Romania,2023-02-02 07:11:30.405043+00
13,Spain,2023-02-02 07:17:09.97446+00
14,Panama,2023-02-02 08:04:04.624339+00
15,India,2023-02-02 08:37:51.976475+00
16,Cuba,2023-02-02 10:03:41.923304+00
17,Mexico,2023-02-02 10:14:16.36169+00
18,Denmark,2023-02-02 10:15:21.188456+00
19,France,2023-02-02 10:20:13.085225+00
20,Italy,2023-02-02 10:31:45.966468+00
21,Japan,2023-02-02 14:01:57.208671+00
22,New Zealand,2023-02-03 12:11:25.317914+00
23,Norvegia,2023-02-04 03:02:30.867975+00
24,Guatemala,2023-02-04 03:05:57.212123+00
25,Austria,2023-02-04 03:11:17.296482+00
26,Belgium,2023-02-06 03:01:02.386191+00
27,Taiwan,2023-02-06 03:38:38.124045+00
28,Malaysia,2023-02-06 03:54:49.426233+00
29,Ireland,2023-02-06 07:47:37.666685+00
30,Wales,2023-02-06 08:04:46.201533+00
31,Ukraine,2023-02-07 05:05:25.732871+00
32,Switzerland,2023-02-07 07:27:27.22769+00
34,Netherland,2023-02-14 13:21:52.904326+00
35,Iceland,2023-02-15 06:17:02.283247+00
36,Brazil,2023-02-16 05:17:01.031469+00
37,South Korea,2023-02-16 05:24:10.228324+00